ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Midea POOR CUSTOMER SERVICE
  
",1.0 颗星，最多 5 颗星,Leyla Iz,评论于 2023年3月24日 在美国 🇺🇸 发布,"







  
  
    This product didn’t last a year. It stopped working after a possible “power surge”; however, none of mine appliances were affected. I don’t know if that was the root cause. I followed the manual and I tried to reset it, but it displays 06 EH. I called Midea and requested a technician. “Anthony”, customer service rep, was rude and brash. He kept cutting me off and said he needed a “yes” or “no” answer. He kept putting me on hold to speak with his supervisor. At the end, he said because I said after a “power surge”, it’s not covered by the warranty. How can you make an assessment and assumption without looking at the unit?? Midea…POOR CUSTOMER SERVICE!!
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    The best window unit
  
",5.0 颗星，最多 5 颗星,Alex See,评论于 2023年3月19日 在美国 🇺🇸 发布,"







  
  
    It is very quiet and cool the room very fast.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Quite, fits in window perfectly. Everything to install is with it.
  
",5.0 颗星，最多 5 颗星,This did not arrive. Package had been opened and nothing was in it. I can send you a picture with note that said it’s how it was sent to the deliver. I have NOT had this issue before. ,评论于 2023年3月14日 在美国 🇺🇸 发布,"


















    
        

        
        
            
        

        
            
                




{""videoWidth"":0,""initialClosedCaptions"":""en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-us-east-1-prod/closedCaptions/6f5e49e8-6b3f-463a-b38e-4bdcdbdc887b.vtt"",""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/e234e231-82e5-4940-86cb-11ec6333e93c/default.jobtemplate.hls.m3u8"",""clientPrefix"":""vse_reviews_desktop_r3uqvmiqykckfh_1681502349581"",""awaConfig"":{""useUpNextComponent"":false,""initialVideo"":""R3UQVMIQYKCKFH"",""shouldPreload"":true,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""isVideoImmersivePlayer"":false,""skipInitialFocus"":false,""disabledViewIds"":[""replayHint""],""customerId"":""0"",""containerId"":""vse_reviews_desktop_r3uqvmiqykckfh_1681502349581-player-f0514806-495d-46e5-8388-a195959a1775"",""requestMetadata"":{""marketplaceId"":""ATVPDKIKX0DER"",""clientId"":""VSE-US"",""method"":""cr_inline_review"",""requestId"":""MF0K5PRSSJZSBKQA1A8M"",""pageAsin"":"""",""sessionId"":""134-3618027-9171925""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""134-3618027-9171925"",""refMarkers"":""vse_reviews_desktop_R3UQVMIQYKCKFH_1681502349581_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""MF0K5PRSSJZSBKQA1A8M"",""customerId"":""0"",""sessionType"":1},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""en"",""version"":"""",""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""shouldAutoplay"":false},""imageUrl"":""https://m.media-amazon.com/images/I/31n8Y2cRSyL._SY256._SY256.jpg"",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""needPlayerFactory"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":"""",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""134-3618027-9171925"",""refMarkers"":""vse_reviews_desktop_R3UQVMIQYKCKFH_1681502349581_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""MF0K5PRSSJZSBKQA1A8M"",""customerId"":""0"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""isMobile"":false,""videoHeight"":0}Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:17Loaded: 35.33%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:17 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedEnglish (Automated)Audio Trackdefault, selectedFullscreenThis is a modal window.


            
            
        
    
    








  
  
     Nice remote. . Energy efficient. I installed it alone.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Super quiet super cool
  
",5.0 颗星，最多 5 颗星,Johnny f,评论于 2023年3月12日 在美国 🇺🇸 发布,"







  
  
    I finally bit the bullet after years of using  portables a/c's.  They are super noisy an eyesore and this Midea is super sleek, super quiet.  We have a 300 year old colonial, every other room has in wall central air.  I was up to a 14k portable to cool the room in the summer.  We just had the whole house insulated and with this brand new baby I can't wait to save some money.  Thanks Midea
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Best A/C we've had!
  
",5.0 颗星，最多 5 颗星,Connor,评论于 2023年3月12日 在美国 🇺🇸 发布,"







  
  
    The fact that the main body sits outside the window, and the window closes around it, makes this A/C super quiet! The fact that it also integrates with our Alexa system, allowing us to voice control it and set up routines, makes it so helpful and convenient~
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Impressive at first
  
",2.0 颗星，最多 5 颗星,Matthew Charo,评论于 2023年3月11日 在美国 🇺🇸 发布,"







  
  
    This product was interesting for the energy savings and reducing noise levels which are a massive annoyance for me. Started out spectacular and still cools well. The problem is 1 year into owning it the unit has devolved a droning electrical buzz that refuses to go away. It is louder when the unit fan speed is on high but still very much loud and present even on the low fan speed. I would much rather get a traditional ac unit going forward and never intend on dealing with this much more frustrating electrical buzz ever again.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    A lot quieter than old school ac’s
  
",5.0 颗星，最多 5 颗星,Roberto C.,评论于 2023年3月11日 在美国 🇺🇸 发布,"







  
  
    So far I’m impressed by the level of noise this unit generates. I don’t have a decibel meter to tell exactly, but there is a lot less noise coming in to the room from the street or the unit itself. How much more energy efficient it is, I can’t tell yet. The installation is not difficult at all, just a few extra steps than a conventional window unit. So far I’m happy.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Mold issue
  
",3.0 颗星，最多 5 颗星,Amazon Customer,评论于 2023年3月9日 在美国 🇺🇸 发布,"







  
  
    This is a great AC unit except that two years in, it developed mold.  That is not uncommon, but the problem with the Medea is that you can't clean it.  There is no way to access the inside.  It has to be done by a service technician and good luck finding one.  Customer service was particularly unhelpful and pretended like they never heard of the problem.  Even though there is lots of discussion on the Internet.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Expensive Junk
  
",1.0 颗星，最多 5 颗星,Dennis P,评论于 2023年3月9日 在美国 🇺🇸 发布,"







  
  
    Purchased when this was new on the market with no reviews. Worked great for 2 years and is energy efficient. Two years later it is making horrible noise and barely cools the room. Only one year warranty and some of that was used sitting in sellers warehouse.For $454 it should have lasted longer.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5
,"







  
  
    Amazing ac unit
  
",4.0 颗星，最多 5 颗星,charger purchaser,评论于 2023年3月7日 在美国 🇺🇸 发布,"







  
  
    Love itIt’s so quiet that you’ll start to notice the 10khz sound from the outer portion of the acAside from the 10khz whine it’s perfect
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5
,"







  
  
    Almost Perfect!
  
",5.0 颗星，最多 5 颗星,Richard,评论于 2023年3月5日 在美国 🇺🇸 发布,"







  
  
    I bought the 8,000 BTU Midea window unit for our master bedroom and now I can set the thermostats for both floors up to about 80° during the night and my master bedroom can be set on 67° for the night. We are empty nesters so this works for us. If your other bedrooms are occupied you probably have to run your central unit or put one of these small units in each bedroom. I don't see the reason to cool my entire 3100 sq ft two story home during the night just to make it comfortabel in the 200 sq ft master bedroom. My electric bill dropped to about 1/3 of what it was and we sleep at a much cooler temperature. The unit is also very quiet on lower speeds. It has a variable speed motor so after the room cools down the unit will run at such a low speed you cannot even hear it. The vent only stays open when the AC is running and sometimes I'll walk by and the vent is open and I'm thinking ""is that thing running"". And I'll put my hand in front of it and I can feel cold air coming out. Although when  you first turn it on and it's running on high speed you can hear it but its more of a louder humm.The only Con is that about once a year you have to vacuum the blades of the squirrel cage fan that blows the cold air or air flow slow down to about nothing. And Midea put some sort of wire quard in front of the squirrel cage fan blade that prevents easy cleaning. Here's what I did; take a pair of pliers and just pull the wire quard out of the unit. To do this you have to bend the air flow cover up in the center and pop it off the two pegs that hold it in to be able to get at the fan. Then pull the grey plastic air diverter blades up out of the holes and set them aside. Then with a pair of pliers or wire cutters pull that damn wire guard out so you get a vacuum in there and vacuum the fan blades. You can probably expect to do this once a year. Once you get the guard out of the way and toss it in the trash the rest of the job is really easy to do once or twice a year.I like the wi-fi app making it easy to set the temp way down. We can be across town and before we are heading home for the evening I'll open my app and turn the unit on. By the time we get up to the bedroom it's 67° while the outside temp is a blazing 100° and the rest of the house is set to 80°. This little unit has paid for itself in the first few months.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5
